well_027e,sel_plate,sel_well,expt,selection,category,antigen,genotype_pair,genotype_CS,background_CS,strain_CS,loc_CS,cond_CS,genotype_S,background_S,strain_S,loc_S,cond_S,cond_notes,bflm,swim,twitch,swarm,PMB-R,FEP-R,TET-R,CIP-R,CHL-R,GEN-R,ERY-R,IPM-R,cdiGMP,FliC,FliCa,FliCb,FlgEHKL,PilQ,PilA,PilB,LasA,LasB,Apr,XcpQ,ToxA,EstA,LepA,PlpD,Phz,Pcn,Pvd,Hcn,Rhl,T3SS,T6SS,Pel,Psl,CdrB,SCV,Mucoid,Alginate,OprM,OprJ,OprN,OprOP,OpdH,OprD,OprL,OprF,OprG,OprH,OprB,MexAB,MexCD,MexEF,MexJK,MexXY,MexGHI,PirA,Pfu,TonB,FptA,FpvA,PfeA,CupB5,CupA,CupB,CupC,CupD,LPS-LipidA-Palmitoyl,L-LipidA-Ara4N,LPS-CPA,LPS-OSA,LPS-galU,LPS-rough,LPS
G11,1,A11,027i,1.A11,iron,pleotropic,pvdS/WT,pvdS::Tn,PA14,NR_34241,6-2	G5,stationary,WT,PA14,430,,stationary,"PvdS is an ECFσ-factor, induces transcription of ~80 genes [@Schulz:2015cm], inc. T3SS (exsA, exoT), Exotoxin A (toxR/regA), PrpL protase, and pyoveridine biosynthesis; regulation: Fe-pvd complexes bind OM transporter FpvA, causes cleavage of periplasmic anti-activator FpvR, which releases PvdS and FpvI [@Chevalier:2019fe]",,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G12,1,A12,027i,1.A12,iron,pyoverdine,pvdA/WT,pvdA::Tn,PA14,NR_30448,4-3	H6,stationary,WT,PA14,430,,stationary,"PvdA is an N-hydroxylating flavoprotein monoxygenase (NMO), critical for pyoverdine biosynthesis [@Olucha:2011fm]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8,1,B1,027i,1.B1,regulator,pleotropic,SA113/ladS,,SA113,,,scrape,ladS#PA14_19340::Tn,PA14,NR_29763,4-2	D6,scrape,"LadS antagonizes RetS, downregulating Psl/Psl and upregulating T3SS [@Mikkelsen:2011ika]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,1,B2,027i,1.B2,general,Pa,SA113/WT,,SA113,,,scrape,WT,PAK,517,,scrape,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
,1,B3,027i,1.B3,general,Pa,SA113/WT,,SA113,,,scrape,WT,PAO1,220,,scrape,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
,1,B4,027i,1.B4,general,Pa,SA113/WT,,SA113,,,scrape,WT,PA103,209,,scrape,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
B8,1,B5,027i,1.B5,general,Pa,SA113/WT,,SA113,,,scrape,WT,PA14,430,,scrape,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,,,1.0
B8,1,B6,027i,1.B6,general,Pa,SA113/WT,,SA113,,,scrape,WT,PA14,430,,scrape,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,,,1.0
B8,1,B7,027i,1.B7,general,Pa,SA113/WT,,SA113,,,scrape,WT,PA14,430,,scrape,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,,,1.0
F3,1,B8,027i,1.B8,EPS,Pel,pelA/WT,pelA::Tn,PA14,NR_26187,2-3	B10,scrape,WT,PA14,430,,scrape,Extracellular polysaccharide Pel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,B9,027i,1.B9,EPS,CdrB,cdrB/WT,cdrB#PA14_61190::Tn,PA14,NR_45954,11-4	D6,scrape,WT,PA14,430,,scrape,CdrB is the transporter/TpsB component of a T5bSS (two-partner) transporter (TpsA = CdrA) [@Borlee:2010em] [@Filloux:2011dl],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,1,B10,027i,1.B10,EPS,CdrA,cdrA/WT,cdrA#PA14_61200::Tn,PA14,NR_37866,8-1	F4,scrape,WT,PA14,430,,scrape,"CdrA is the passenger/TpsA component of a T5bSS (two-partner) transporter (TpsB= CdrB); c-di-GMP-regulated; adhesin, psl-binding lectin [@Borlee:2010em] [@Filloux:2011dl]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F10,1,B11,027i,1.B11,c-di-GMP,???,wspA/WT,wspA#PA14_08450::Tn,PA14,NR_23967,1-2	G11,scrape,WT,PA14,430,,scrape,WspA is part of the Wsp phosphorelay system contributing to autoaggregation. wspA mutants probably have low c-di-GMP and cannot form SCV [@DArgenio:2002ff],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11,1,B12,027i,1.B12,c-di-GMP,???,wspE/WT,wspE#PA14_16470::Tn,PA14,NR_25862,2-2	C11,scrape,WT,PA14,430,,scrape,WspE is part of the Wsp phosphorelay system contributing to autoaggregation. wspE mutants probably have low c-di-GMP and cannot form SCV [@DArgenio:2002ff],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,1,C1,027i,1.C1,alginate,alginate,algU/WT,algU::Tn,PA14,NR_40799,9-3	C3,scrape,WT,PA14,430,,scrape,"AlgU is a major ECFσ-factor which regulates stress responses, virulence factors, and alginate production (overproduction yielding the mucoid phenotype) [@Chevalier:2019fe]. AlgU regulon has been characterized by transcriptomics [@Schulz:2015cm]. PAO1 algU mutants are defective in Psl production [@Bazire:2010gt].",,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
,1,C2,027i,1.C2,alginate,mucoid,WT/mucB,WT,PA14,430,,scrape,mucB::Tn,PA14,NR_25615,2-1	G6,scrape,"MucB is a negative regulator of AlgU; MucB stabilizes MucA in the periplasm, preventing its degradation and prolonging its repression of AlgU [@Chevalier:2019fe]. mucB deletions confer a mucoidy phenotype [@Schurr:1996bh]. AlgU regulon has been characterized by transcriptomics; algU overexpression represses fleQ and fliC transcription, though other HBB genes are equivocal [@Schulz:2015cm].",,,,,,,,,,,,,,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,1.0,,,,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,
G8,1,C3,027i,1.C3,alginate,mucoid,WT/mucB,WT,PA14,430,,scrape,mucB::Tn,PA14,NR_25615,2-1	G6,scrape,see 1-C2,,,,,,,,,,,,,,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,1,C4,027i,1.C4,alginate,alginate,WT/dsbM,WT,PA14,430,,scrape,dsbM#PA14_00700::Tn,PA14,NR_27274,3-1	B6,scrape,"deletion of homolog in PAO1 → increased algU expression (Wood & Ohman, mBio 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,C5,027i,1.C5,alginate,alginate,WT/mucD,WT,PA14,430,,scrape,mucD::Tn,PA14,NR_34714,6-3	F7,scrape,"MucD is a protease; loss results in alginate overexpression, independently of AlgW [@Damron:2011ed] [@Damron:2012kd]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,C6,027i,1.C6,biofilm,biofilm,WT/bfiR,WT,PA14,430,,scrape,bfiR#PA14_09690::Tn,PA14,NR_28988,3-4	F6,scrape,BfiSR TCS necessary for biofilm initiation and maturation [@Petrova:2010gh],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8,1,C7,027i,1.C7,c-di-GMP,SCV,WT/yfiR,WT,PA14,430,,scrape,yfiR#PA14_49880::Tn,PA14,NR_52922,12-4	D11,scrape,"YfiN is a membrane-bound diguanylate cyclase (DGC), regulated by YfiR; yfiR mutation causes SCV phenotype in PAO1 [@Malone:2010ew]. SCVs are generally nonmotile, hyperpiliated, and overproduce Pel and Psl [@Malone:2015cva] ",1.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,C8,027i,1.C8,c-di-GMP,SCV,fimX/yfiR fimX,∆fimX#PA4959,PA103,23,,scrape,∆fimX yfiR#PA1121::Tn.2(Tc),,590,,scrape,SCV phenotype; Identified in fimX suppressor screen  [@Jain:2012ica]. (FimX is required for T4P assembly under low c-di-GMP conditions; fimX mutation here only due to convenience),1.0,-1.0,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,C9,027i,1.C9,c-di-GMP,SCV,fimX/PA0171 fimX,∆fimX#PA4959,PA103,23,,scrape,∆fimX PA0171::Tn.12(Tc),PA103,591,,scrape,see 1-C8,1.0,-1.0,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,C10,027i,1.C10,efflux,MexAB-OprM,oprM/rocA2,oprM::Tn,PA14,NR_38915,8-3	D1,scrape,rocA2#PA14_24710::Tn,PA14,NR_26984,12-4	H2,scrape,RocA2 is response regulator to RocS2 (together known as Roc2 TCS); RocA2 downregulates MexAB-OprM in biofilms for unknown reasons; crosstalk w/ cupC regulation [@Mikkelsen:2011ika],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
F5,1,C11,027i,1.C11,EPS,Pel,pel/WT,∆pel,PAO1 Parsek,1257,,scrape,WT,PAO1 Parsek,1256,,scrape,Deficient in extracellular polysaccharide Pel biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F6,1,C12,027i,1.C12,EPS,Psl,psl/WT,∆psl,PAO1 Parsek,1258,,scrape,WT,PAO1 Parsek,1256,,scrape,Deficient in extracellular polysaccharide Psl biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F7,1,D1,027i,1.D1,EPS,Pel/Psl,pel-psl/WT,∆pel ∆psl,PAO1 Parsek,1259,,scrape,WT,PAO1 Parsek,1256,,scrape,Deficient in extracellular polysaccharide Pel and Psl biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D2,027i,1.D2,motility,T4P,pilA/WT,∆pilA,PAO1,311,,scrape,WT,PAO1,220,,scrape,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D3,027i,1.D3,motility,T4P,pilA/WT,∆pilA::gmR,PAK,380,,scrape,WT,PAK,517,,scrape,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D4,027i,1.D4,motility,T4P,fliC pilA/fliC,∆fliC ∆pilA,PAO1,501,,scrape,∆fliC::TcR,PAO1,298,,scrape,unscarred mutant from #312,,,,,,,,,,,,,,0.0,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D5,027i,1.D5,motility,T4P,fliC pilA/fliC,∆fliC ∆pilA,PAO1,1112,,scrape,∆fliC::TcR,PAO1,298,,scrape,,,,,,,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D6,027i,1.D6,motility,T4P,pilA/WT,∆pilA,PA103,213,,scrape,WT,PA103,209,,scrape,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D7,027i,1.D7,porin,PilQ,pilQ/pilA,∆pilQ,PAO1,1052,,scrape,∆pilA,PAO1,311,,scrape,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D8,027i,1.D8,porin,PilQ,pilQ/pilA,∆pilQ,PAO1,1052,,scrape,∆pilA,PAO1,311,,scrape,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D9,027i,1.D9,porin,PilQ,pilQ/pilA,∆pilQ,PAO1,1052,,scrape,∆pilA,PAO1,311,,scrape,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D10,027i,1.D10,porin,PilQ,pilQ/pilA,∆pilQ,PA103,1053,,scrape,∆pilA::gmR,PA103,213,,scrape,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D11,027i,1.D11,porin,PilQ,pilQ/pilB,pilQ::Tn,PA14,NR_41699,10-1	D5,scrape,pilB::Tn,PA14,NR_56672,15-3	H1,scrape,,,,,,,,,,,,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,D12,027i,1.D12,secretion,T6SS,gacA/retS,gacA::Tn(GmR) fliC::TcR ∆pilA,PAO1,Tom#220,,scrape,retS::Tn(GmR) fliC::TcR ∆pilA,PAO1,Tom#223,,scrape,"retS mutant should overexpress Pel/Psl and T6SS like a ""chronic"" isolate, while gacA mutant should be pro-motility and express T3SS. RetS inhibits GacAS. GacAS activate RsmY/RsmZ which inhibit RsmA and promote motility, T3SS activation while inhibiting Pel/Psl and T6SS [@Mikkelsen:2011ika]. gacA mutants have increased swimming and twitching motility vs. WT [@Wei:2013jn]. retS mutants have decreased transcription of T4P-related genes including pilQ [@Goodman:2004bw]. gacA and gacS mutations are phenotypically identical. These mutants were identified by screening a non-arrayed transposon library and sequencing inserts [@Murray:2008cs]. Both strains carry pUCP-SK plasmid, but I will grow w/o abx. ",,,,,,,,,,,,,,0.0,,,-1.0,-1.0,0.0,,,,,,,,,,,,,,,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,E1,027i,1.E1,efflux,MexAB-OprM,efflux/↑mexAB,"(mPMQ72) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,"(mPMQ72 +mexAB +oprM) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,single efflux system overexpression in trans; CS = PA0397 [@Chuanchuen:2005gy] ∆exsD w/ ZTP riboswitch reporter in attB site + empty vector; vector confers Gm15 resistance,,,,,,1.0,1.0,1.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,1,E2,027i,1.E2,efflux,MexCD-OprJ,efflux/↑mexCD,"(mPMQ72) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,"(mPMQ72 +mexCD +oprJ) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,single efflux system overexpression in trans; CS = PA0397 [@Chuanchuen:2005gy] ∆exsD w/ ZTP riboswitch reporter in attB site + empty vector; vector confers Gm15 resistance,,,,,,1.0,,1.0,1.0,0.0,1.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,1,E3,027i,1.E3,efflux,MexEF-OprN,efflux/↑mexEF,"(mPMQ72) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,"(mPMQ72 +mexEF +oprN) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,single efflux system overexpression in trans; CS = PA0397 [@Chuanchuen:2005gy] ∆exsD w/ ZTP riboswitch reporter in attB site + empty vector; vector confers Gm15 resistance,,,,,,,1.0,1.0,1.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
